%Mg,%Al,%Si,%S,%K,%Ca,%Ti,%Mn,%Fe
4.09,4.66,64.87,6.33,4.88,3.99,5.07,3.70,2.30
7.09,4.78,67.54,6.62,4.88,4.15,5.48,4.02,1.82
4.10,4.65,64.81,6.33,4.86,3.98,5.08,3.70,2.30
4.01,4.56,63.01,6.17,4.77,3.88,4.93,3.60,2.23
5.14,4.64,64.56,6.32,4.82,3.98,5.12,3.74,2.08
6.37,4.58,63.89,6.27,4.71,3.94,5.15,3.78,1.80
3.73,4.61,63.30,6.22,4.82,3.89,4.93,3.62,2.31
6.39,4.63,64.40,6.33,4.77,3.98,5.18,3.82,1.83
3.62,4.44,60.47,5.95,4.66,3.74,4.70,3.46,2.20
6.39,4.67,64.94,6.38,4.81,4.01,5.22,3.84,1.85
7.90,4.78,66.91,6.60,4.84,4.12,5.48,4.05,1.65
6.01,4.71,64.01,6.39,4.83,3.96,5.12,3.83,1.91
7.49,4.65,63.57,6.34,4.73,3.94,5.19,3.88,1.59
5.14,4.75,66.24,6.49,4.94,4.08,5.24,3.84,2.16
5.17,4.76,65.88,6.49,4.92,4.05,5.22,3.84,2.15
3.96,4.61,62.29,6.21,4.76,3.82,4.89,3.63,2.24
6.74,4.60,61.61,6.24,4.63,3.79,5.02,3.79,1.68
6.11,4.67,63.46,6.34,4.77,3.91,5.10,3.81,1.87
6.18,4.67,63.37,6.34,4.76,3.91,5.10,3.81,1.85
6.24,4.67,63.28,6.34,4.76,3.90,5.10,3.82,1.84
6.31,4.67,63.19,6.34,4.75,3.90,5.09,3.82,1.82
6.38,4.68,63.10,6.34,4.75,3.89,5.09,3.82,1.81
6.45,4.68,63.02,6.34,4.75,3.88,5.09,3.83,1.79
6.52,4.68,62.93,6.34,4.74,3.88,5.09,3.83,1.78
6.59,4.68,62.84,6.34,4.74,3.87,5.09,3.84,1.76
6.66,4.68,62.75,6.34,4.73,3.87,5.08,3.84,1.75
6.72,4.69,62.66,6.35,4.73,3.86,5.08,3.84,1.73
6.79,4.69,62.57,6.35,4.73,3.86,5.08,3.85,1.72
